# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1726536242
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-29.9919,0.902402,0.54049,1,3,0,35.7881,-0.342026
-30.0537,0.993178,0.766663,1,1,0,30.1152,-0.353059
-29.3067,0.837302,1.43582,2,3,0,30.7553,0.0145133
-29.3067,0.200101,1.65919,1,1,0,30.8495,0.0145133
-29.3103,0.999947,0.277868,1,1,0,29.3103,0.0166789
-29.2725,0.976187,0.530941,2,5,0,30.1441,-0.125557
-29.2589,0.989457,0.936533,1,3,0,29.375,-0.0232151
-30.3282,0.706952,1.70365,1,3,0,30.329,-0.397648
-30.7406,0.956487,1.34122,2,3,0,31.0515,-0.455117
-30.9004,0.955121,2.19079,1,3,0,30.9095,0.339776
-30.9004,3.09348e-21,3.5362,1,2,1,30.9032,0.339776
-30.2996,0.994631,0.369734,1,3,0,31.245,0.257858
-30.4794,0.984783,0.672511,1,1,0,30.5124,0.284381
-29.278,1,1.1781,2,3,0,30.3419,-0.130132
-29.86,0.606996,2.13311,1,1,0,29.8991,0.181404
-29.2702,0.853682,1.29181,2,3,0,30.8148,-0.123545
-29.3897,0.328016,1.55032,2,3,0,34.278,-0.190438
-29.6459,0.967016,0.444934,2,7,0,31.0345,0.13393
-29.7685,0.987796,0.728767,1,1,0,29.7763,0.162324
-30.5122,0.934266,1.25167,2,3,0,30.572,0.288998
-30.2023,1,1.84915,1,1,0,30.9758,0.242563
-29.7085,0.333333,3.2269,1,3,1,29.842,-0.284333
-29.7329,0.995585,0.980535,1,1,0,29.8105,-0.289894
-29.3375,1,1.68503,2,3,0,29.5346,-0.166893
-29.268,1,2.90409,1,1,0,29.3416,-0.121468
-29.268,0.000183805,4.96327,1,3,1,29.2688,-0.121468
-29.2391,0.996941,0.67065,1,3,0,29.3228,-0.0682892
-29.6623,0.900026,1.14049,1,3,0,29.7756,0.137966
-29.7867,0.947849,1.51118,1,1,0,29.961,0.166247
-30.2362,0.652531,2.24441,1,1,0,30.2428,-0.383418
-30.2362,0.514257,1.60426,1,1,0,31.4098,-0.383418
-30.6121,0.953223,0.822194,1,1,0,30.643,-0.438172
-29.7442,1,1.23158,2,3,0,30.4021,-0.292409
-29.2847,1,2.05267,1,1,0,29.3924,-0.000183768
-30.1282,0.159608,3.39687,1,1,0,31.4359,0.230395
-29.6748,0.997522,0.759935,3,7,0,30.268,0.140968
-29.6011,1,1.2498,1,1,0,29.7457,0.122508
-29.433,1,2.05355,1,3,0,29.4697,-0.206928
-29.433,0.0994942,3.35189,1,1,0,30.2052,-0.206928
-29.3911,1,0.678297,2,3,0,29.4313,-0.190998
-29.6889,0.977809,1.10776,2,3,0,29.6898,-0.279758
-29.2491,1,1.70893,1,1,0,29.4596,-0.0993987
-29.2491,2.26257e-05,2.75706,1,1,0,30.3806,-0.0993987
-29.5131,0.985015,0.464316,2,7,0,29.8993,0.0977898
-29.5193,0.999385,0.725712,1,1,0,29.5441,0.0996501
-29.4537,1,1.16466,2,3,0,29.5435,0.0787463
-30.1607,0.634424,1.86085,2,3,0,30.2638,-0.371224
-30.2291,0.992558,1.32271,2,3,0,30.5218,-0.382293
-29.6099,1,2.06582,1,1,0,30.1896,-0.260229
-29.6099,2.76428e-25,3.2618,1,1,0,31.1457,-0.260229
-29.2909,0.986069,0.589513,1,3,0,29.9356,-0.139708
-29.3598,0.956165,0.904877,1,3,0,29.7143,0.0421308
-29.2798,1,1.29652,1,1,0,29.3388,-0.0039298
-29.2489,1,2.03075,1,1,0,29.2558,-0.099059
-29.2489,0.15196,3.16483,1,1,0,29.3192,-0.099059
-29.2757,0.987892,0.824897,1,3,0,29.3892,-0.00724116
-29.4535,0.914147,1.25324,2,3,0,29.7713,0.0786878
-29.9343,0.786967,1.62576,1,1,0,30.0406,0.195886
-39.7059,0.00812391,1.61633,1,1,0,40.0191,0.955101
-39.7163,0.999794,0.323299,1,1,0,39.9176,0.95561
-39.1926,1,0.50113,1,1,0,39.9578,0.929705
-35.8612,1,0.773526,1,1,0,38.8543,0.745842
-31.6543,1,1.18861,1,1,0,34.8567,0.423615
-31.6543,0.378376,1.81838,1,3,0,33.4991,0.423615
-31.8917,0.996013,0.795372,3,7,0,32.0983,0.44719
-32.3216,0.963035,1.20423,2,3,0,32.9561,0.487349
-30.7374,1,1.70053,1,1,0,32.3347,0.31927
-30.7374,5.28605e-10,2.57469,1,1,0,31.9637,0.31927
-33.7507,0.915472,0.542214,2,7,0,33.7509,0.603804
-34.174,0.962024,0.696558,1,1,0,34.435,0.634596
-32.4335,1,0.977463,1,1,0,34.0465,0.497334
-31.1913,1,1.47178,2,3,0,32.2587,-0.509443
-29.2721,1,2.20752,1,1,0,29.6938,-0.0102283
-29.4262,0.243015,3.29855,1,3,0,29.5903,-0.204476
-29.4886,0.984481,1.15277,1,1,0,29.5222,-0.22565
-29.4886,0.754817,1.67091,1,1,0,29.8834,-0.22565
-30.008,0.335073,1.56114,2,3,0,32.7809,0.209511
-30.6095,0.984757,0.660409,3,7,0,30.7952,0.302388
-30.5325,1,0.955159,1,1,0,30.7945,0.291831
-29.3868,1,1.41679,1,1,0,30.1066,0.0537997
-29.2554,1,2.09423,1,1,0,29.3217,-0.027274
-29.2554,0.328545,3.08507,1,1,0,29.2858,-0.027274
-29.2495,1,1.30907,1,1,0,29.256,-0.0353967
-31.8473,0.162643,1.92569,1,1,0,32.046,0.442863
-32.1264,0.980718,0.60829,1,1,0,32.2101,0.469487
-29.5122,1,0.863723,2,3,0,31.9458,0.0974973
-29.5122,4.64949e-11,2.53286,1,3,1,29.5122,0.0974973
-29.5122,0,5.91439,0,1,1,30.5349,0.0974973
-29.8769,0.957948,0.583155,2,7,0,30.0336,-0.320205
-29.6509,1,0.542974,1,1,0,29.8537,-0.270595
-29.8957,0.938064,0.728486,1,1,0,29.9578,-0.323898
-29.8957,0.332741,0.942214,1,1,0,31.5101,-0.323898
-29.4734,0.999595,0.206179,3,11,0,30.0077,0.0853329
-30.1607,0.940991,0.354326,1,3,0,30.6773,0.235798
-30.7466,0.922324,0.529584,1,1,0,30.7558,0.320454
-30.7466,0.615343,0.764847,1,1,0,32.1392,0.320454
-30.7509,0.979607,0.424487,2,5,0,31.5903,-0.456438
-29.2625,1,0.75208,2,3,0,30.7385,-0.0192745
-29.2625,0.0285446,1.42691,1,1,0,30.0147,-0.0192745
-29.4507,0.998079,0.128672,3,15,0,29.7587,-0.213169
-29.2613,0.998276,0.245645,2,7,0,29.6359,-0.0206165
-29.966,0.943506,0.467525,2,5,0,30.0794,-0.337263
-29.966,0.514482,0.747449,1,1,0,31.7213,-0.337263
-30.0091,0.997817,0.32077,1,1,0,30.0293,-0.345151
-29.8093,1,0.604314,1,1,0,30.025,-0.30645
-29.701,0.774237,1.13604,2,3,0,30.048,-0.282601
-29.3615,0.726015,1.07924,2,3,0,29.9664,0.042891
-29.2889,1,0.890384,1,1,0,29.3469,0.00284061
-29.2865,0.608283,1.64625,1,3,0,29.2902,-0.136565
-29.2564,1,0.965142,1,1,0,29.2797,-0.109343
-29.2564,0.0150838,1.76608,1,1,0,29.5691,-0.109343
-29.3018,0.998054,0.191837,2,7,0,29.4753,0.0114878
-29.2391,0.999411,0.350483,2,7,0,29.3241,-0.0686606
-30.7887,0.833333,0.636353,2,3,0,30.8933,-0.461277
-29.438,1,0.720329,2,3,0,30.4859,0.0732954
-29.3144,1,1.28938,1,1,0,29.3369,-0.154467
-29.3144,6.15626e-06,2.28575,1,1,0,30.3823,-0.154467
-29.3386,0.992994,0.265485,3,7,0,29.6929,-0.167471
-29.3767,0.980976,0.463479,2,3,0,29.6084,-0.185015
-29.2484,0.981449,0.776474,2,3,0,29.4902,-0.0982489
-29.2484,0.481509,1.29164,1,1,0,29.4876,-0.0982489
-29.2396,0.999078,0.572428,1,3,0,29.2589,-0.0606399
-29.299,0.971683,0.991301,1,1,0,29.2991,0.0096588
-29.299,0.0556913,1.58542,1,1,0,29.5836,0.0096588
-29.2838,0.999994,0.239404,3,9,0,29.3013,-0.134551
-30.0349,0.961196,0.412968,3,7,0,30.3495,0.214323
-30.3467,0.979672,0.640407,2,3,0,30.4334,0.26501
-29.2469,1,1.03337,1,1,0,29.7783,-0.0397439
